Date,Title,Content,Cleaned_Speech,VADER_Score,VADER_Compound,VADER_Pos,VADER_Neg,VADER_Neu,VADER_Label,Emotions
[development] Balochistan has done pride in Gwalior and the energy award will be there and the praise and price of electricity,it was also done in a very good way with Iran,"we will move forward in this matter, then this is a very close friendship with Iran Pakistan or people.",move forward matter close friendship iran pakistan people,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.4588}",0.4588,0.4,0.0,0.6,positive,"{'positive': 2, 'joy': 1, 'trust': 1}"
2022-06-05 00:00:00,Prime Minister Mian Muhammad Shehbaz Sharif Addresses Ceremony in Lahore - 05 06 2022,"""",,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,neutral,{}
1. [general] Ajay was praised by Rahman,whether it was Bhushan and Mr. Ali and Rehman Sahib,"the Governor of Punjab, or whether Salman Rafiq Sahib was Rohit Punjab, after the funeral benefit, Mr. Iqbal Kachchi Sahib was present in Jain Sahib and all were Indus Foundation.",governor punjab whether salman rafiq sahib rohit punjab funeral benefit mr iqbal kachchi sahib present jain sahib indus foundation,"{'neg': 0.111, 'neu': 0.756, 'pos': 0.133, 'compound': 0.128}",0.128,0.133,0.111,0.756,positive,"{'trust': 2, 'sadness': 1, 'positive': 3, 'anticipation': 1, 'joy': 1, 'surprise': 1}"
2. [welfare] The members of the are up board and one third of the complex Ram that the guests have given a proverb in rural Gujarat and Assalam Alaikum that today is for me,this is not happiness and that respect for Intihai is amazing,my pain has reduced that I have a.,pain reduced,"{'neg': 0.767, 'neu': 0.233, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.0,0.767,0.233,negative,"{'fear': 1, 'negative': 1, 'sadness': 1}"
3. [development] This was the last year of every year,I have been invited to such people that such people,"who are very strange Pakistanis, that God is the Church and Allah Taala has blessed them with a great cruelty, but they take the risk and earn this red money.",strange pakistani god church allah taala blessed great cruelty take risk earn red money,"{'neg': 0.301, 'neu': 0.309, 'pos': 0.39, 'compound': 0.5106}",0.5106,0.39,0.301,0.309,positive,"{'anticipation': 4, 'fear': 3, 'joy': 4, 'positive': 5, 'trust': 3, 'anger': 2, 'disgust': 1, 'negative': 2, 'sadness': 1, 'surprise': 1}"
5. [policy] That I get grains or this is the less,God is the judge which we get to read at various places in Quran Kareem and those who have implemented them,"in the true sense, when are both the religion and the world coming here too?",true sense religion world coming,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,0.412,0.0,0.588,positive,"{'joy': 1, 'positive': 2, 'trust': 2, 'anticipation': 1}"
12. [action] So I said,of course,"Chawla, I am here for that.",chawla,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,{}
16. [disaster management] I said that in the flood of 2000,10,"11, 12, 2010 and 11, when the people of Turkey are pure politics and today, sir, many scholars have.",people turkey pure politics today sir many scholar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,"{'anger': 1, 'positive': 2, 'trust': 1}"
17. [disaster management] Of Muzaffargarh,which was completely submerged during the flood days,"there was so much devastation in the ponds of Dera Ghazi Khan and other areas that even today, when that picture comes to mind and heart, a person becomes helpless, so I said.",much devastation pond dera ghazi khan area even today picture come mind heart person becomes helpless said,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.7003}",-0.7003,0.0,0.279,0.721,negative,"{'anger': 1, 'fear': 3, 'negative': 2, 'sadness': 2, 'surprise': 1, 'trust': 1}"
19. [welfare] We would be the first to make such charitable ethos,but I have not seen such stubborn machinery or such missiles anywhere in Pakistan,so I think the government is not capable of running anything this year.,think government capable running anything year,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}",0.3818,0.342,0.0,0.658,positive,"{'fear': 1, 'negative': 1}"
20. [governance] I know I am bringing down the government here,it cannot run,"it will be stuck there, it will become an incarnation of government where medicine will never be available, there will never be a doctor, Dr. Shahrukh Khan and our sisters, women nurses, but medical is the crown of our cities for me.",stuck become incarnation government medicine never available never doctor dr shahrukh khan sister woman nurse medical crown city,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.25}",-0.25,0.0,0.105,0.895,negative,"{'fear': 3, 'negative': 1, 'positive': 3, 'trust': 4, 'anticipation': 1}"
21. [healthcare] He is the one who has dedicated his time to the search for humanity,but the way you have been defeated by Doctor Saheb in every section of the Master,"it is not a medical thing to go to Aaj Tak, it is a political field, even if it is bureaucracy now.",medical thing go aaj tak political field even bureaucracy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,"{'anticipation': 1, 'fear': 1, 'positive': 1, 'trust': 2, 'negative': 1}"
22. [governance] Is there any other field or is there any other field,we know very well about the matter where fatty substances are bad,"so I said that I want this essence to be of political color, I have selected them from here, give me a chance, Dr. Abdul Bari, get a clear picture and then take the man.",said want essence political color selected give chance dr abdul bari get clear picture take man,"{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.5994}",0.5994,0.312,0.0,0.688,positive,{'surprise': 1}
25. [action] Listeners,during this time,"when I called the leaders of the government of Punjab, please distribute one bottle, you do not handover it to them.",called leader government punjab please distribute one bottle handover,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.3182}",0.3182,0.223,0.0,0.777,positive,"{'positive': 1, 'trust': 1, 'fear': 1, 'negative': 1}"
26. [governance] I can do it,why do they have to force you,"you have to give these pills, yes, it is true, I got angry at what I said that we are helpless in any medicine or machinery or any such item which is unpleasant.",give pill yes true got angry said helpless medicine machinery item unpleasant,"{'neg': 0.429, 'neu': 0.32, 'pos': 0.251, 'compound': -0.5994}",-0.5994,0.251,0.429,0.32,negative,"{'positive': 2, 'trust': 2, 'joy': 1, 'anger': 1, 'disgust': 2, 'negative': 3, 'fear': 1, 'sadness': 2}"
31. [corruption] So,if they wanted something from us,then where did the body come from?,body come,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,{}
32. [general] You say to me that this charitable hospital which Turkey refused to put a body on,give it to the one who gives us the most pleasure,"Budiwada, means you are using it.",budiwada mean using,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,{}
33. [welfare] I have seen that in the name of God,today we have one person who can hand over such spices to such stars who are famous not only in Pakistan but in the world and we cannot point a finger at them as a joke,don't worry.,dont worry,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.3412}",0.3412,0.706,0.0,0.294,positive,"{'positive': 1, 'trust': 1, 'anticipation': 1, 'fear': 1, 'negative': 1, 'sadness': 1}"
34. [action] If there is a jar of EMO Indus,then how can you gift your sister to Barik,"Mehboob Ali has given me and I the rule, the highest bidder in Punjab, come in the date of infection, do something of your own mind, do something by believing in Allah and this sad humanity.",mehboob ali given rule highest bidder punjab come date infection something mind something believing allah sad humanity,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0,0.162,0.838,negative,"{'fear': 3, 'trust': 3, 'anticipation': 1, 'joy': 2, 'negative': 2, 'positive': 3, 'surprise': 1}"
38. [people] People will come here to Muzaffargarh,this result is so wonderful,"then I fought there against this illegal, a new incarnation of his aunt, with a Punjab has grown from its huge and I have a name in the expenditure on urban, yet we have seen many of its scholars or.",fought illegal new incarnation aunt punjab grown huge name expenditure urban yet seen many scholar,"{'neg': 0.292, 'neu': 0.594, 'pos': 0.114, 'compound': -0.5574}",-0.5574,0.114,0.292,0.594,negative,"{'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 2, 'sadness': 1, 'positive': 2, 'trust': 1}"
40. [general] If you are not doing any favor to any person,then according to me,"you will be happy, then I will not change this plaque and the names of many Burdwans will remain there and this is continuing immediately and then I myself understand that under my supervision.",happy change plaque name many burdwans remain continuing immediately understand supervision,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5719}",0.5719,0.27,0.0,0.73,positive,"{'anticipation': 2, 'joy': 1, 'positive': 2, 'trust': 1, 'fear': 1, 'negative': 1}"
41. [healthcare] Got vitamins done many times,when I used to go to vote,"tell me secretly, then there was Muzaffarnagar North and that was a hospital with 250 beds, late at night he thought that if you go, it is Rs 8000, he built it and completed it and then that too.",tell secretly muzaffarnagar north hospital bed late night thought go r built completed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,"{'fear': 1, 'sadness': 2, 'trust': 1, 'negative': 1, 'anticipation': 1}"
42. [general] We handed him over to him,after that he made the song 'Lahore Mein' successful and that too,"he told me that Bajirao has to be put on us very badly, so there is no time without it.",told bajirao put u badly time without,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0,0.383,0.617,negative,"{'negative': 1, 'sadness': 1, 'anticipation': 1}"
43. [general] I said,if you people consider it as a log,"then how can I make it grow, but okay.",make grow okay,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,0.487,0.0,0.513,positive,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}"
45. [policy] If you say,then it is our duty to spend from our own pocket to please God,"then for the high altitude areas, ok, we will do it.",high altitude area ok,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}",0.296,0.423,0.0,0.577,positive,{}
47. [general] They were there but I saved the truth and first handed over the taste to them,then I made the products in Manama,"near the border and handed them over there, in the Rai event, the product was fluttering, the voice of the mind was a pledge, so my elder brothers and sisters, this relationship that this relationship Akhilesh's progress and the people's progress and his treatment of intelligence and fun brought us very close and I think you should believe that today this dal which he made, which I made successful by sitting in a dryer in Muzaffargarh, has now become a success.",near border handed rai event product fluttering voice mind pledge elder brother sister relationship relationship akhileshs progress people progress treatment intelligence fun brought u close think believe today dal made made successful sitting dryer muzaffargarh become success,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.9612}",0.9612,0.394,0.0,0.606,positive,"{'joy': 7, 'positive': 9, 'trust': 5, 'anticipation': 5, 'fear': 1}"
48. [development] I had given a condition to the contractor who designed the design that there would be a red interior on the outside,there would be no stones,"it is not made from stones in its own pot, it is not made from marble by itself, it does hard work with the help of kindness, trust and knowledge technology, so here I said that.",made stone pot made marble hard work help kindness trust knowledge technology said,"{'neg': 0.072, 'neu': 0.464, 'pos': 0.464, 'compound': 0.8225}",0.8225,0.464,0.072,0.464,positive,"{'anger': 1, 'negative': 1, 'positive': 3, 'trust': 1}"
49. [development] There will be inches outside,which is red brick,"which has a job, now we are ginger too, you say, inside there will be the best sleep, most monitors, now here there is a machine, CT scan and all these things, we provided them with our rule, you say that the pulses are complete here, I have used it.",job ginger say inside best sleep monitor machine ct scan thing provided rule say pulse complete used,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6369}",0.6369,0.208,0.0,0.792,positive,"{'positive': 1, 'trust': 2, 'fear': 1}"
50. [governance] I am not even this much and that too,then we handed over to them and this and National,"who are running this, so this is the truth, they do not take any argument from their side, they just give this budget to me, whatever is the use of Punjab.",running truth take argument side give budget whatever use punjab,"{'neg': 0.195, 'neu': 0.625, 'pos': 0.18, 'compound': -0.0516}",-0.0516,0.18,0.195,0.625,negative,"{'positive': 1, 'trust': 2, 'anger': 1, 'negative': 1}"
53. [welfare] It is necessary to believe that the people who are scholars in Karachi,Kota,"Peshawar, who spend crores and billions of rupees from their relatives in the field of education, in the field of treatment, in the path of Allah Taala, today I understand that here these friends and brothers have laid the foundation.",peshawar spend crore billion rupee relative field education field treatment path allah taala today understand friend brother laid foundation,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}",0.4939,0.151,0.0,0.849,positive,"{'trust': 3, 'joy': 1, 'positive': 3}"
54. [governance] And that whatever you have kept in the account,I will read it to you so that you can get its LMB and along with it,you will also get its return.,also get return,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,{}
56. [welfare] I have to tell that others should get Tanveer,I am on this,"they will also get their encouragement, we will also move forward in this noble work, so remember those who are here, sir, Iqbal Qureshi Sahab's entire family, Sahab Javed, Ashok Bhati Sahab and sir.",also get encouragement also move forward noble work remember sir iqbal qureshi sahabs entire family sahab javed ashok bhati sahab sir,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7003}",0.7003,0.234,0.0,0.766,positive,"{'positive': 5, 'trust': 3}"
57. [general] Mian Mohammed Faiz Saheb,these are the founders,"the more you paid attention to this year's love voice, the community kept increasing and they spread further, they have contacted me as far as I have done once in these, they have made two illegal contacts ₹ 2 What is this to me?",paid attention year love voice community kept increasing spread contacted far done made two illegal contact,"{'neg': 0.165, 'neu': 0.642, 'pos': 0.193, 'compound': 0.1531}",0.1531,0.193,0.165,0.642,positive,"{'positive': 4, 'joy': 1, 'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1}"
61. [corruption] SM Pravesh,you have SM Pravesh,you have given one rupee.,given one rupee,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,{}
64. [general] Instead of putting fashion within yourself,he has done this clearly,"so it is worth a billion, but he can serve 10, I am telling you this for sure, he can serve 10, so as I told him that day, I was in the village of Na Sthal, now Salim Saheb.",worth billion serve telling sure serve told day village na sthal salim saheb,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.4939}",0.4939,0.276,0.0,0.724,positive,"{'positive': 1, 'negative': 2, 'trust': 2}"
65. [general] When you went to Mian and nephews,I did not talk to you,"I, Manisha Koirala told me a lot, then I said that Mian Saheb, if you make four moments in four directions of Pakistan like this, then you will pay 8-10,000 rupees.",manisha koirala told lot said mian saheb make four moment four direction pakistan like pay rupee,"{'neg': 0.078, 'neu': 0.782, 'pos': 0.14, 'compound': 0.2732}",0.2732,0.14,0.078,0.782,positive,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}"
66. [general] The alarm that I have given you,the pain is not equal to any kind,"so if you work on this in your life, then it will be released immediately, in the same way, I will request my decision to pee, come here, come here, I said, now two ways, okay.",work life released immediately way request decision pee come come said two way okay,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.2263}",0.2263,0.128,0.0,0.872,positive,"{'anticipation': 1, 'negative': 1, 'positive': 1}"
67. [general] I have seen this again from someone in the city,sir,"there was one wish or two, now not two more accused, then Faisal Shah's population of one billion is in advance, will you ignore me?",one wish two two accused faisal shah population one billion advance ignore,"{'neg': 0.287, 'neu': 0.549, 'pos': 0.165, 'compound': -0.25}",-0.25,0.165,0.287,0.549,negative,"{'anger': 1, 'fear': 2, 'negative': 2, 'positive': 2, 'anticipation': 1, 'joy': 1, 'surprise': 1}"
69. [general] It's a very good thing,please come here,"I don't speak from my heart at all, but tell me the amount of corn that should be given, then tell me how many stops at the actress' place in 5 years, according to initial 157, Rana is ₹ 2000 Om Gaur.",dont speak heart tell amount corn given tell many stop actress place year according initial rana om gaur,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.115,0.885,negative,"{'positive': 1, 'trust': 1}"
70. [general] Sir,I will come to Jaipur so that I can talk,"I can share it on WhatsApp right now, if you provide it, it is fine.",share whatsapp right provide fine,"{'neg': 0.0, 'neu': 0.429, 'pos': 0.571, 'compound': 0.4588}",0.4588,0.571,0.0,0.429,positive,"{'anticipation': 1, 'joy': 1, 'positive': 2, 'trust': 2}"
71. [general] Yes,come here,but the thing is that you give 500 likes to your Muslims.,thing give like muslim,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,0.455,0.0,0.545,positive,{}
72. [governance] There is a commitment from Wazir-e-Azam,Open check to the snake,"Some fixed amount 's neck and we spilled juice everywhere, How can we do a pinch with you, This is a group again, We are not interested, I will stop you and return, This was the fourth day of this.",fixed amount neck spilled juice everywhere pinch group interested stop return fourth day,"{'neg': 0.138, 'neu': 0.692, 'pos': 0.17, 'compound': 0.128}",0.128,0.17,0.138,0.692,positive,"{'trust': 1, 'disgust': 1, 'positive': 1, 'sadness': 1}"
74. [development] If we take the biggest challenge then inside it we are building a dialysis center with 100 beds,like your dream,that market should be like Lakhan red clothes in 5 years.,market like lakhan red clothes year,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,0.333,0.0,0.667,positive,{}
75. [governance] I have received a lot of letters from you,so this is no longer open,"respect loot transaction and anyway come, Mashallah, you are big business people, you are recharge too, this is another legitimate work, it is under their rule that I should not be made to talk about illegitimate work at all.",respect loot transaction anyway come mashallah big business people recharge another legitimate work rule made talk illegitimate work,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.4767}",0.4767,0.154,0.0,0.846,positive,"{'anticipation': 1, 'joy': 1, 'positive': 2, 'trust': 3, 'negative': 2, 'fear': 2, 'anger': 1, 'disgust': 1, 'sadness': 1, 'surprise': 1}"
79. [general] Shahrukh that this is very big,this is very big,"he has got this done, Allah Ta'ala will give you his head and in this world as well as in the next world, he will give you a lot of blessings, which the alarm in the Quran-e-Kareem said automatically and micro on promise.",got done allah taala give head world well next world give lot blessing alarm quranekareem said automatically micro promise,"{'neg': 0.096, 'neu': 0.6, 'pos': 0.304, 'compound': 0.6369}",0.6369,0.304,0.096,0.6,positive,"{'anticipation': 1, 'joy': 2, 'positive': 2, 'trust': 2, 'fear': 1, 'negative': 1, 'surprise': 1}"
80. [welfare] It is my promise that many scholars are sitting here in front of me,may Allah grant them life for the welfare of the country,"they are very capable and not for a moment, and they are very free to serve Islam till then.",capable moment free serve islam till,"{'neg': 0.0, 'neu': 0.404, 'pos': 0.596, 'compound': 0.7096}",0.7096,0.596,0.0,0.404,positive,"{'negative': 1, 'trust': 1}"
81. [governance] Denial: The policy of his brothers is the elder of the family,his village and city are in trouble,"I want to say two-three things in the end, I am from 2016, give me more businessmen here, where I am sitting today, after five years of my life, Doctor, Doctor Sahib, I don't want to meet him.",want say twothree thing end give businessmen sitting today five year life doctor doctor sahib dont want meet,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.1531}",0.1531,0.14,0.0,0.86,positive,"{'positive': 3, 'trust': 3}"
82. [governance] I have got the opportunity,Dr. Saheb is sitting,"I always tell him that an angel is only a human being, come and now he has brought that the increase in Dr. Amjad Saheb, please clap loudly, it is for him and by God, he has created the Punjab Education and Development Fund which I have created.",always tell angel human come brought increase dr amjad saheb please clap loudly god created punjab education development fund created,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.8271}",0.8271,0.416,0.0,0.584,positive,"{'anticipation': 3, 'joy': 3, 'positive': 4, 'surprise': 1, 'trust': 3, 'fear': 1}"
87. [welfare] Aamdan Meena and that the Vice Chairman was the Chairman of MS,will you believe that millions of poor children and girls were drowned,"432000 children and girls, among them many thousands of orphan children, orphan girls, on whose instructions there was no squad to keep the oath, they were drowned and lakhs of children were drowned.",child girl among many thousand orphan child orphan girl whose instruction squad keep oath drowned lakh child drowned,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.8316}",-0.8316,0.0,0.328,0.672,negative,"{'anticipation': 3, 'joy': 3, 'positive': 5, 'fear': 2, 'negative': 2, 'sadness': 2, 'trust': 2}"
88. [welfare] And the girls had only one condition that they should be hardworking and there or you,me,"myself, in those years, we used to make the girls and children their guardians and I used to act as their guardian.",year used make girl child guardian used act guardian,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,"{'anticipation': 1, 'joy': 1, 'positive': 3, 'trust': 2}"
90. [people] That uncle,his demise has happened,"it is an incident, uncle, sister-in-law will congratulate the thread, so what does she do if she has gone there, we are sisters and brothers, although they see, it is not like this, why not send it, it is known that I used to listen with all my ears to those boys and girls.",incident uncle sisterinlaw congratulate thread gone sister brother although see like send known used listen ear boy girl,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.6908}",0.6908,0.263,0.0,0.737,positive,"{'surprise': 1, 'trust': 2, 'positive': 1}"
91. [welfare] Apart from that,those lakhs of boys and girls who have become doctors,"who have become engineers, who have become humble today and have achieved their place in the world, the spectacles of the family have become lamps, the butch of Kunjwan, they.",become engineer become humble today achieved place world spectacle family become lamp butch kunjwan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,"{'disgust': 1, 'negative': 2, 'positive': 2, 'sadness': 1}"
93. [general] I will narrate with a stone that I met her after 4 years and I saw mine on television sometimes when I used to read newspapers,that the government which is now doing this work with them,"people used to tell me that have you seen them, they have some fear of God, Bluetooth one.",people used tell seen fear god bluetooth one,"{'neg': 0.283, 'neu': 0.531, 'pos': 0.186, 'compound': -0.2732}",-0.2732,0.186,0.283,0.531,negative,"{'anger': 1, 'fear': 2, 'negative': 1, 'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}"
98. [policy] There should not be any political color,whatever raw thing you have said,"but I am saddened by the fact that the government had closed that egg in the previous regime, I am very saddened by this, I am very saddened by Ajay Devgan today, so now Bhaj Dadi, please listen to me.",saddened fact government closed egg previous regime saddened saddened ajay devgan today bhaj dadi please listen,"{'neg': 0.416, 'neu': 0.49, 'pos': 0.094, 'compound': -0.836}",-0.836,0.094,0.416,0.49,negative,"{'trust': 1, 'fear': 1, 'negative': 1}"
99. [policy] A  bill collection scheme which Chini Sahab started from one side in 2001 for unemployed people and as soon as he reached Rs 12 billion,for the last three and a half years,"he has been using all kinds of essays, only he has spent all the money of Salman in the mosque.",using kind essay spent money salman mosque,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.5267}",0.5267,0.362,0.0,0.638,positive,"{'joy': 2, 'positive': 2, 'trust': 2, 'negative': 1, 'anger': 1, 'anticipation': 1, 'surprise': 1}"
